w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1.766643700000000081e+03,1.288760600000000068e+03,5.219809000000000196e+02,1.721007299999999987e+03,1.325941600000000108e+03,5.154059999999999491e+02,2.735257000000000062e+03,4.400483100000000377e+03,9.180000000000000000e+02,8.834237000000000535e+02,4.566739999999999782e+02,4.801592999999999734e+02,1.224260600000000068e+03,1.207183700000000044e+03,9.794506000000000085e+02,9.925882000000000289e+02
1.773893700000000081e+03,1.332456699999999955e+03,5.122572000000000116e+02,1.732601699999999937e+03,1.370098099999999931e+03,5.042787000000000148e+02,2.696195299999999861e+03,4.525390800000000127e+03,9.038392999999999802e+02,8.700721999999999525e+02,4.503589000000000055e+02,4.749248999999999796e+02,1.239682999999999993e+03,1.225330699999999979e+03,1.025726400000000012e+03,1.037650699999999915e+03
1.786560999999999922e+03,1.374939900000000080e+03,5.017884000000000242e+02,1.747064000000000078e+03,1.411474500000000035e+03,4.940672999999999888e+02,2.654785300000000007e+03,4.657109800000000178e+03,8.891852000000000089e+02,8.570394000000000005e+02,4.444551999999999907e+02,4.671055000000000064e+02,1.258636600000000044e+03,1.245295000000000073e+03,1.072012300000000096e+03,1.084165899999999965e+03
1.802878099999999904e+03,1.418385500000000093e+03,4.893716000000000008e+02,1.756571699999999964e+03,1.459724999999999909e+03,4.839703999999999837e+02,2.611722499999999854e+03,4.795179799999999886e+03,8.750987000000000080e+02,8.431873000000000502e+02,4.373788999999999874e+02,4.590575999999999794e+02,1.281481500000000096e+03,1.261349999999999909e+03,1.117676099999999906e+03,1.137672199999999975e+03
1.815025699999999915e+03,1.466751299999999901e+03,4.788584999999999923e+02,1.772023799999999937e+03,1.506937699999999950e+03,4.719932999999999765e+02,2.570746099999999842e+03,4.936844199999999546e+03,8.609978999999999587e+02,8.298496999999999844e+02,4.309574999999999818e+02,4.519409999999999741e+02,1.300421599999999899e+03,1.282780400000000100e+03,1.169258499999999913e+03,1.187383700000000090e+03
1.828825800000000072e+03,1.511966599999999971e+03,4.678183999999999969e+02,1.780105499999999893e+03,1.558428699999999935e+03,4.628521999999999821e+02,2.529099700000000212e+03,5.076897500000000036e+03,8.473628999999999678e+02,8.155665999999999940e+02,4.233192999999999984e+02,4.458509000000000242e+02,1.321208900000000085e+03,1.299797499999999900e+03,1.217719700000000103e+03,1.241171399999999949e+03
1.840661800000000085e+03,1.563525300000000016e+03,4.574216000000000122e+02,1.791727499999999964e+03,1.606893700000000081e+03,4.547945000000000277e+02,2.484147599999999784e+03,5.226876800000000003e+03,8.330915999999999713e+02,8.003766000000000531e+02,4.150778000000000247e+02,4.386016000000000190e+02,1.341446300000000065e+03,1.320615600000000086e+03,1.272992999999999938e+03,1.294821899999999914e+03
1.850905199999999923e+03,1.613621300000000019e+03,4.494338000000000193e+02,1.802883399999999938e+03,1.655392700000000104e+03,4.465317999999999756e+02,2.440786300000000210e+03,5.373981899999999769e+03,8.184280999999999722e+02,7.862789999999999964e+02,4.091707000000000107e+02,4.299085000000000036e+02,1.360919300000000021e+03,1.340131699999999910e+03,1.326442199999999957e+03,1.349488700000000108e+03
1.599997599999999920e+03,9.312798000000000229e+02,6.787831999999999653e+02,1.601581400000000031e+03,9.396880999999999631e+02,6.682415999999999485e+02,3.187685599999999795e+03,3.227886100000000170e+03,1.048734699999999975e+03,1.021970699999999965e+03,5.511620000000000346e+02,5.688182000000000471e+02,1.026457200000000057e+03,1.049320300000000088e+03,5.847066999999999553e+02,5.704018999999999551e+02
1.614426200000000108e+03,9.512921999999999798e+02,6.646771999999999707e+02,1.616492799999999988e+03,9.597785999999999831e+02,6.534759999999999991e+02,3.166624899999999798e+03,3.289518099999999777e+03,1.040498800000000074e+03,1.015673700000000053e+03,5.477611000000000558e+02,5.656912999999999556e+02,1.036463700000000017e+03,1.057350100000000111e+03,6.066720000000000255e+02,5.920322999999999638e+02
